-1.000,+0.000,+1.000,+0.000,+0.000,+0.000,+0.000,+1.000,+0.000,+0.000,+0.000,+0.000,+0.000,+1.000,+0.030,+0.000
+1.000,-1.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.000,-1.000,+1.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.000,+0.000,-1.000,+0.000,+0.050,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.100,+0.000,+0.000,-1.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.000,+0.000,+0.000,+1.000,-1.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.225,+0.000,+0.000,+0.000,+0.000,-1.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,-1.000,+0.000,+0.000,+1.000,+0.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.675,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,-1.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+1.000,+0.000,+0.000,-1.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.750,-1.000,+0.750,+0.000,+0.000,+0.000,+0.000
+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+1.000,+0.000,+0.000,-1.000,+0.000,+0.000,+0.000,+0.000
+0.000,+0.000,+0.000,+0.000,+0.000,+0.950,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,-1.000,+0.000,+0.000,+0.000
+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+1.000,-1.000,+0.000,+0.000
+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,-1.000,+1.000
+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.000,+0.250,+0.000,+0.250,+0.000,+0.000,+0.000,-1.000
